src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,lassen,-आना,lassen,1.0,1.0
-आना,lassen,दलदल,Sumpf,0.30381086,0.4675637
-आना,lassen,ऊपर,oben,0.29547146,0.44243717
-आना,lassen,पुराना,alt,0.29510927,0.22029251
-आना,lassen,चमड़ा,Leder,0.29177088,0.42397797
-आना,lassen,यह,dies,0.28332657,0.32041115
-आना,lassen,यह,er,0.28332657,0.33880526
-आना,lassen,स्वप्न,Traum,0.26528835,0.21322514
-आना,lassen,उदर,Bauch,0.26349235,0.30216318
-आना,lassen,दुष्ट,böse,0.25920096,0.4381558
-आना,lassen,जानु,Knie,0.25803405,-0.04951858
-आना,lassen,कोयल,Kuckuck,0.25706726,-0.07633525
-आना,lassen,पथ,Pfad,0.25285065,0.018021218
-आना,lassen,पर,Feder,0.25104037,0.42115188
-आना,lassen,नख,Fingernagel,0.24700284,0.37612265
-आना,lassen,नख,Nagel,0.24700284,0.310963
-आना,lassen,डरना,sich fürchten,0.24686839,0.5188117
-आना,lassen,मुर्ग़ी,Huhn,0.24661332,-0.114720464
-आना,lassen,लगभग नहीं,kaum,0.24365027,0.46600178
-आना,lassen,आदमी,Mann,0.24277599,0.048801504
-आना,lassen,छत,Dach,0.24150775,0.09403966
-आना,lassen,पगडंडी,Pfad,0.23772146,0.018021218
-आना,lassen,सत्तर,siebzig,0.23760504,0.2996018
-आना,lassen,वृद्ध,alt,0.23703286,0.22029251
-आना,lassen,मुर्ग़ा,Hahn,0.23603387,-0.27068132
-आना,lassen,इधर,hier,0.23600845,0.2852791
-आना,lassen,हाथापाई करना,sich schlagen,0.23488855,0.32342827
अँगुली,Finger,अँगुली,Finger,1.0000001,1.0
अँगुली,Finger,उँगली,Finger,0.34264246,1.0
अँगुली,Finger,उँगली,Zeh,0.34264246,0.03312078
अँगुली,Finger,सर्दी,Kälte,0.33884072,0.39598423
अँगुली,Finger,घटना,sinken,0.29597214,0.20320296
अँगुली,Finger,घटना,abnehmen,0.29597214,0.30478078
अँगुली,Finger,हर जगह,überall,0.2852314,0.263285
अँगुली,Finger,दर्पण,Spiegel,0.2836856,0.29833826
अँगुली,Finger,रंग,Farbe,0.26591048,0.20647761
अँगुली,Finger,नवंबर,November,0.26126745,0.32701218
अँगुली,Finger,निकल भागना,flüchten,0.2608251,0.15144661
अँगुली,Finger,मोड़ना,wenden,0.25876993,0.2677087
अँगुली,Finger,खिसकाना,schieben,0.25273508,0.27294233
अँगुली,Finger,लफ़्ज़,Wort,0.2497672,0.09062537
अँगुली,Finger,चप्पू,Ruder,0.23969305,0.4336183
अँगुली,Finger,दूसरा,anderer,0.2350821,0.3152865
अँगुली,Finger,दूसरा,zweiter,0.2350821,0.35802883
अँगुली,Finger,अभ्र,Wolke,0.2288048,0.42104325
अँगुली,Finger,पुतली,Puppe,0.22869715,0.34444964
अँगुली,Finger,रग,Ader,0.22501457,-0.06633303
अँगुली,Finger,भ्राता,Bruder,0.21929212,0.45469528
अँगुली,Finger,नापना,messen,0.21805492,0.3241085
अँगुली,Finger,पाँव की उँगली,Zeh,0.21142645,0.03312078
अँगुली,Finger,शहर,Stadt,0.20997183,-0.04203268
अँगुली,Finger,गँवाना,verlieren,0.20991258,0.20782006
अँगुली,Finger,सर्द,kalt,0.20699616,0.26054654
अँगुली,Finger,चर्च,Kirche,0.20282517,0.4828235
अँगुली,Finger,गंद,Schmutz,0.2022156,0.2182787
अँगूठी,Ring,अँगूठी,Ring,0.99999994,1.0
अँगूठी,Ring,चक्षु,Auge,0.28595185,-0.015676342
अँगूठी,Ring,उपांत,Rand,0.27632597,0.2661963
अँगूठी,Ring,चूल्हा,Ofen,0.2739918,-0.1162992
अँगूठी,Ring,जवान,jung,0.2738511,-0.057028186
अँगूठी,Ring,झुंड,Schwarm,0.26583284,0.018587552
अँगूठी,Ring,ख़त,Brief,0.26331735,0.06130099
अँगूठी,Ring,केवल,nur,0.2500095,-0.006375961
अँगूठी,Ring,के सामने,vor,0.23728175,0.11675811
अँगूठी,Ring,बुहारना,fegen,0.23317839,0.12006995
अँगूठी,Ring,फ़रवरी,Februar,0.23080306,0.0049263276
अँगूठी,Ring,पहेली,Rätsel,0.22696634,0.058465134
अँगूठी,Ring,चरबी,Fett,0.22471914,-0.04422235
अँगूठी,Ring,बटन,Knopf,0.22451758,-0.054515988
अँगूठी,Ring,देग़,Kessel,0.22201873,-0.21390733
