src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,faire,-आना,faire,1.0,1.0
-आना,faire,दलदल,marais,0.30381086,0.18677156
-आना,faire,दलदल,marécage,0.30381086,0.2592414
-आना,faire,ऊपर,dessus,0.29547146,0.13802244
-आना,faire,ऊपर,en haut,0.29547146,0.23458359
-आना,faire,पुराना,vieux,0.29510927,0.15091237
-आना,faire,चमड़ा,cuir,0.29177088,0.10352579
-आना,faire,यह,ceci,0.28332657,0.4506134
-आना,faire,यह,il,0.28332657,0.36764684
-आना,faire,यह,lui,0.28332657,0.3957997
-आना,faire,स्वप्न,songe,0.26528835,0.431549
-आना,faire,उदर,ventre,0.26349235,0.18236056
-आना,faire,दुष्ट,mauvais,0.25920096,0.29723638
-आना,faire,जानु,genou,0.25803405,0.25122
-आना,faire,कोयल,coucou,0.25706726,0.35588712
-आना,faire,पथ,sentier,0.25285065,0.4173592
-आना,faire,पर,plume,0.25104037,0.19345342
-आना,faire,नख,ongle,0.24700284,0.26102695
-आना,faire,नख,ongle,0.24700284,0.26102695
-आना,faire,डरना,avoir peur,0.24686839,0.34922224
-आना,faire,मुर्ग़ी,poule,0.24661332,0.1903218
-आना,faire,लगभग नहीं,à peine,0.24365027,0.3534874
-आना,faire,आदमी,homme,0.24277599,0.19055098
-आना,faire,छत,toit,0.24150775,0.25565377
-आना,faire,पगडंडी,sentier,0.23772146,0.4173592
-आना,faire,सत्तर,soixante-dix,0.23760504,0.14213553
-आना,faire,वृद्ध,âgé,0.23703286,0.060778275
-आना,faire,वृद्ध,vieux,0.23703286,0.15091237
-आना,faire,मुर्ग़ा,coq,0.23603387,0.26654494
-आना,faire,इधर,ici,0.23600845,0.4398282
-आना,faire,हाथापाई करना,se taper,0.23488855,0.51767075
अँगुली,doigt,अँगुली,doigt,1.0000001,1.0
अँगुली,doigt,उँगली,doigt,0.34264246,1.0
अँगुली,doigt,उँगली,orteil,0.34264246,0.5713062
अँगुली,doigt,उँगली,doigt de pied,0.34264246,0.90947556
अँगुली,doigt,सर्दी,froid,0.33884072,0.39530775
अँगुली,doigt,घटना,descendre,0.29597214,0.43709958
अँगुली,doigt,घटना,s'abaisser,0.29597214,0.4627355
अँगुली,doigt,घटना,diminuer,0.29597214,0.43426389
अँगुली,doigt,हर जगह,partout,0.2852314,0.41096824
अँगुली,doigt,दर्पण,glace,0.2836856,0.45261788
अँगुली,doigt,दर्पण,miroir,0.2836856,0.5279248
अँगुली,doigt,रंग,peinture,0.26591048,0.22918507
अँगुली,doigt,नवंबर,novembre,0.26126745,0.13942046
अँगुली,doigt,निकल भागना,s'enfuir,0.2608251,0.48179638
अँगुली,doigt,मोड़ना,retourner,0.25876993,0.4162321
अँगुली,doigt,खिसकाना,pousser,0.25273508,0.4338559
अँगुली,doigt,लफ़्ज़,mot,0.2497672,0.42736587
अँगुली,doigt,चप्पू,rame,0.23969305,0.42271134
अँगुली,doigt,चप्पू,aviron,0.23969305,0.1450458
अँगुली,doigt,दूसरा,autre,0.2350821,0.43637586
अँगुली,doigt,दूसरा,second,0.2350821,0.23528516
अँगुली,doigt,दूसरा,deuxième,0.2350821,0.12973404
अँगुली,doigt,अभ्र,nuage,0.2288048,0.48975325
अँगुली,doigt,पुतली,poupée,0.22869715,0.4996441
अँगुली,doigt,रग,veine,0.22501457,0.47761518
अँगुली,doigt,भ्राता,frère,0.21929212,-0.18161303
अँगुली,doigt,नापना,mesurer,0.21805492,0.36315513
अँगुली,doigt,पाँव की उँगली,orteil,0.21142645,0.5713062
अँगुली,doigt,पाँव की उँगली,doigt de pied,0.21142645,0.90947556
अँगुली,doigt,शहर,cité,0.20997183,0.04172292
अँगुली,doigt,शहर,ville,0.20997183,0.061753687
अँगुली,doigt,गँवाना,perdre,0.20991258,0.49814314
अँगुली,doigt,सर्द,froid,0.20699616,0.39530775
अँगुली,doigt,चर्च,église,0.20282517,0.30671245
अँगुली,doigt,गंद,boue,0.2022156,0.534132
अँगुली,doigt,गंद,saleté,0.2022156,0.27747098
अँगूठी,bague,अँगूठी,bague,0.99999994,1.0
अँगूठी,bague,चक्षु,œil,0.28595185,0.48240227
अँगूठी,bague,उपांत,bord,0.27632597,0.23987187
अँगूठी,bague,चूल्हा,poêle,0.2739918,0.10886745
अँगूठी,bague,जवान,jeune,0.2738511,0.4387983
अँगूठी,bague,झुंड,nuée,0.26583284,0.07591857
अँगूठी,bague,झुंड,volée,0.26583284,0.072274655
अँगूठी,bague,ख़त,lettre,0.26331735,0.46945834
अँगूठी,bague,केवल,seulement,0.2500095,0.31535318
अँगूठी,bague,केवल,ne ... que,0.2500095,-3.2817945e-05
अँगूठी,bague,के सामने,devant,0.23728175,0.41836762
अँगूठी,bague,बुहारना,balayer,0.23317839,0.53379226
अँगूठी,bague,फ़रवरी,février,0.23080306,0.24343567
अँगूठी,bague,पहेली,énigme,0.22696634,0.479492
अँगूठी,bague,पहेली,devinette,0.22696634,0.6671934
अँगूठी,bague,चरबी,graisse,0.22471914,0.34511265
अँगूठी,bague,बटन,bouton,0.22451758,0.4445544
अँगूठी,bague,देग़,chaudron,0.22201873,0.52878267
अँगूठी,bague,हत्था,prise,0.22042021,0.29779115
अँगूठी,bague,हत्था,manche,0.22042021,0.2852347
अँगूठी,bague,लड़की,fille,0.21689445,0.5037134
अँगूठी,bague,लड़की,jeune fille,0.21689445,0.5473434
अँगूठी,bague,खिड़की,fenêtre,0.21643838,-0.116919145
अँगूठी,bague,अक्सर,souvent,0.21622133,0.32133082
अँगूठी,bague,अक़्ल,raison,0.21416733,0.2410744
अँगूठी,bague,राह,route,0.21267508,0.20240003
अँगूठी,bague,बुहारी,balai,0.21244696,0.48412275
अँगूठी,bague,झूठ,mensonge,0.2115394,0.44846404
अँगूठी,bague,स्मरण-शक्ति,mémoire,0.21106584,0.5233929
अँगूठी,bague,नमूना,dessin,0.21090502,0.45394695
अँगोछा,serviette,अँगोछा,serviette,0.99999994,1.0
अँगोछा,serviette,अँगोछा,essuie-mains,0.99999994,0.34844974
अँगोछा,essuie-mains,अँगोछा,serviette,0.99999994,0.34844974
अँगोछा,essuie-mains,अँगोछा,essuie-mains,0.99999994,1.0
अँगोछा,serviette,एक दफ़ा,une fois,0.29958943,0.60556793
अँगोछा,essuie-mains,एक दफ़ा,une fois,0.29958943,0.61049366
अँगोछा,serviette,चिढ़ाना,agacer,0.2992532,0.36240572
अँगोछा,essuie-mains,चिढ़ाना,agacer,0.2992532,0.52914876
अँगोछा,serviette,बेटा,fils,0.29352593,0.44128734
अँगोछा,essuie-mains,बेटा,fils,0.29352593,0.23671547
अँगोछा,serviette,पकड़ना,saisir,0.29161492,0.48207748
अँगोछा,serviette,पकड़ना,prendre,0.29161492,0.26457852
अँगोछा,serviette,पकड़ना,tenir,0.29161492,0.25947246
अँगोछा,serviette,पकड़ना,attraper,0.29161492,0.31534845
अँगोछा,serviette,पकड़ना,agripper,0.29161492,0.44515634
अँगोछा,serviette,पकड़ना,capturer,0.29161492,0.31778938
अँगोछा,essuie-mains,पकड़ना,saisir,0.29161492,0.39209628
अँगोछा,essuie-mains,पकड़ना,prendre,0.29161492,0.30819407
अँगोछा,essuie-mains,पकड़ना,tenir,0.29161492,0.44817448
अँगोछा,essuie-mains,पकड़ना,attraper,0.29161492,0.41325274
अँगोछा,essuie-mains,पकड़ना,agripper,0.29161492,0.51132894
अँगोछा,essuie-mains,पकड़ना,capturer,0.29161492,0.46501583
अँगोछा,serviette,बिल,terrier,0.2795401,0.37577665
अँगोछा,essuie-mains,बिल,terrier,0.2795401,0.26400936
अँगोछा,serviette,उदास,triste,0.27266148,0.36250255
अँगोछा,essuie-mains,उदास,triste,0.27266148,0.2103143
अँगोछा,serviette,द्वितीय,second,0.24699931,0.406084
अँगोछा,serviette,द्वितीय,deuxième,0.24699931,0.25174165
अँगोछा,essuie-mains,द्वितीय,second,0.24699931,0.30153865
अँगोछा,essuie-mains,द्वितीय,deuxième,0.24699931,0.38581687
अँगोछा,serviette,चपटा,plat,0.24560072,0.32881215
अँगोछा,essuie-mains,चपटा,plat,0.24560072,0.31979135
अँगोछा,serviette,जनवरी,janvier,0.23944318,0.28332037
अँगोछा,essuie-mains,जनवरी,janvier,0.23944318,0.2074092
अँगोछा,serviette,शेख़ी बघारना,se vanter,0.23451461,0.36682612
अँगोछा,essuie-mains,शेख़ी बघारना,se vanter,0.23451461,0.25681263
अँगोछा,serviette,मई,mai,0.2295285,0.3061579
अँगोछा,essuie-mains,मई,mai,0.2295285,0.17557663
अँगोछा,serviette,शीर्ष,tête,0.22920807,-0.04825587
अँगोछा,essuie-mains,शीर्ष,tête,0.22920807,0.003282398
अँगोछा,serviette,होशियार,intelligent,0.22746591,0.3144645
अँगोछा,essuie-mains,होशियार,intelligent,0.22746591,0.40199363
अँगोछा,serviette,स्वस्थ हो जाना,guérir,0.22308394,-0.02242661
अँगोछा,serviette,स्वस्थ हो जाना,se remettre,0.22308394,0.39101058
अँगोछा,essuie-mains,स्वस्थ हो जाना,guérir,0.22308394,-0.16038427
अँगोछा,essuie-mains,स्वस्थ हो जाना,se remettre,0.22308394,0.37179297
अँगोछा,serviette,माता-पिता,parents,0.22211775,0.3153791
अँगोछा,essuie-mains,माता-पिता,parents,0.22211775,0.49753213
अँगोछा,serviette,गंद,boue,0.22037607,0.46863943
अँगोछा,serviette,गंद,saleté,0.22037607,0.40884733
अँगोछा,essuie-mains,गंद,boue,0.22037607,0.4095721
अँगोछा,essuie-mains,गंद,saleté,0.22037607,0.32683697
अँगोछा,serviette,भालू,ours,0.21907121,0.4308695
अँगोछा,essuie-mains,भालू,ours,0.21907121,0.36130232
अँगोछा,serviette,कोण,coin,0.2160878,0.47928232
अँगोछा,serviette,कोण,réduit,0.2160878,0.38019824
अँगोछा,essuie-mains,कोण,coin,0.2160878,0.34825057
अँगोछा,essuie-mains,कोण,réduit,0.2160878,0.2342297
अँगोछा,serviette,ढाल,pente,0.21573362,0.44589695
अँगोछा,serviette,ढाल,versant,0.21573362,0.42123893
अँगोछा,essuie-mains,ढाल,pente,0.21573362,0.23145504
अँगोछा,essuie-mains,ढाल,versant,0.21573362,0.23802821
अँगोछा,serviette,किधर,où,0.2152324,0.0
अँगोछा,serviette,किधर,où,0.2152324,0.0
अँगोछा,essuie-mains,किधर,où,0.2152324,0.0
अँगोछा,essuie-mains,किधर,où,0.2152324,0.0
अँगोछा,serviette,मुलायम,mou,0.21443938,0.32330418
