en_src_word,en_word,de_word,bn_word,ru_word
aback,aback,verblüfft,পশ্চাতে,сзади
abacus,abacus,abakus,গণনা-যন্ত্রবিশেষ,счеты
abandoned,abandoned,verlassen,পরিত্যক্ত,заброшенный
abandonment,abandonment,aufgabe,বিসর্জন,оставление
abasement,abasement,erniedrigung,অপমান,унижение
abatement,abatement,minderung,উপশম,снижение
abbreviate,abbreviate,abkürzen,খাট করা,сокращать
abbreviated,abbreviated,abgekürzt,সংক্ষিপ্ত,сокращенный
abdicate,abdicate,abdanken,পরিত্যাগ করা,отрекаться
abduct,abduct,entführen,অপহরণ করা,похищать
abduction,abduction,entführung,অপহরণ,отведение
abductor,abductor,entführer,তস্কর,похититель
abhor,abhor,verabscheuen,ঘৃণাসহকারে পরিহার করা,питать отвращение
abhorrence,abhorrence,abscheu,ন্যক্কার,омерзение
abide,abide,bleib,মেনে চলা,соблюдать
abiding,abiding,bleibend,স্থায়ী,неизменный
abidingly,abidingly,bleibend,স্থায়িভাবে,неизменно
ability,ability,fähigkeit,ক্ষমতা,способность
abject,abject,erbärmlich,পতিত,униженный
able,able,fähig,সক্ষম,в состоянии
ably,ably,gut,সক্ষমভাবে,квалифицированно
abnormality,abnormality,anomalie,অস্বাভাবিকতা,ненормальность
abnormally,abnormally,abnormal,অস্বাভাবিক,ненормально
aboard,aboard,an bord,জাহাজের উপরে,на борту
abolishment,abolishment,abschaffung,রদ,упразднение
abominable,abominable,abscheulich,জঘন্য,отвратительный
aboriginal,aboriginal,ureinwohner,আদিবাসী,аборигенный
aborted,aborted,abgebrochen,বন্ধ্যা-করা,прервана
abortion,abortion,abtreibung,গর্ভপাত,аборт
abortive,abortive,fehlgeschlagen,ব্যর্থ,абортивный
abound,abound,im überfluss,উড়া,изобиловать
about,about,über,সম্পর্কিত,около
aboveboard,aboveboard,ehrlich,অকপট,открыто
abrasion,abrasion,abrieb,ঘর্ষণ,истирание
abreast,abreast,nebeneinander,পাশাপাশি,в ряд
abridged,abridged,gekürzt,সংক্ষেপিত,сокращенный
absent,absent,abwesend,অনুপস্থিত,нет на месте
absenteeism,absenteeism,fehlzeiten,কর্মক্ষেত্রাদিতে অনুপসি্থত থাকার অভ্যাস,абсентеизм
absently,absently,geistesabwesend,অন্যমনস্কভাবে,рассеянно
absolutely,absolutely,absolut,একেবারে,абсолютно
absoluteness,absoluteness,absolutheit,নিরঙ্কুশ্তা,безусловность
absolutism,absolutism,absolutismus,স্বৈরতন্ত্র,абсолютизм
absorbable,absorbable,absorbierbar,শোষণযোগ্য,поглощаемый
absorbent,absorbent,absorbierend,বিশোষক,абсорбирующий
abstain,abstain,verzichten,বিরত থাকা,воздерживаться
abstract,abstract,abstrakt,বিমূর্ত,абстрактные
abstracted,abstracted,abstrahiert,আনমনা,рассеянный
abstraction,abstraction,abstraktion,বিমূর্তন,абстракция
absurdity,absurdity,absurdität,অর্থহীনতা,нелепость
abundance,abundance,fülle,প্রাচুর্য,изобилие
abundantly,abundantly,reichlich,প্রচুর পরিমাণে,обильно
abuse,abuse,missbrauch,অপব্যবহার,злоупотребление
abuser,abuser,missbraucher,অপব্যবহারকারী,обидчик
abusive,abusive,missbräuchlich,অবমাননাকর,оскорбительный
academia,academia,wissenschaft,একাডেমিয়া,академия
academic,academic,akademisch,কেতাবি,академический
academically,academically,wissenschaftlich,শিক্ষাগত,академически
academy,academy,akademie,শিক্ষায়তন,академия
accelerator,accelerator,beschleuniger,বেগবর্ধক ব্যক্তি,ускоритель
accentuate,accentuate,akzentuieren,উচ্চারণ করা,акцентировать
accentuation,accentuation,akzentuierung,উচ্চারণ,подчеркивание
accept,accept,akzeptieren,গ্রহণ করা,принимать
acceptability,acceptability,annehmbarkeit,গ্রাহ্যতা,приемлемость
acceptably,acceptably,akzeptabel,গ্রহণযোগ্যভাবে,допустимо
accepted,accepted,akzeptiert,গৃহীত,принято
accessible,accessible,zugänglich,প্রবেশযোগ্য,доступной
accident,accident,unfall,দুর্ঘটনা,авария
accidental,accidental,zufällig,আপতিক,случайный
acclaim,acclaim,anerkennung,জয়ধ্বনি,шумное приветствие
