src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,April,April,April,1.0000001,1.0
April,April,February,Februar,0.74839634,0.79243404
April,April,November,November,0.73710865,0.7769755
April,April,December,Dezember,0.7311475,0.7887278
April,April,October,Oktober,0.7180678,0.7624613
April,April,September,September,0.7046387,0.7483224
April,April,August,August,0.6830222,0.76261836
April,April,January,Januar,0.6186014,0.7808157
April,April,autumn,Herbst,0.53682536,0.50915235
April,April,Friday,Freitag,0.48423898,0.5625758
April,April,Thursday,Donnerstag,0.48040742,0.62971187
April,April,Tuesday,Dienstag,0.4453754,0.64790094
April,April,spring,Frühling,0.4390901,0.36563337
April,April,Saturday,Samstag,0.40879703,0.64342344
April,April,March,März,0.40705705,-0.10485792
April,April,Monday,Montag,0.4061186,0.577307
April,April,morning,Morgen,0.37695992,0.25267226
April,April,pike,Hecht,0.3728838,0.047140107
April,April,night,Nacht,0.3661851,0.4271723
April,April,Wednesday,Mittwoch,0.36289722,0.6494173
April,April,month,Monat,0.3311249,0.12194423
April,April,fog,Nebel,0.33003944,0.3800581
April,April,forehead,Stirn,0.3285568,0.22398245
April,April,Sunday,Sonntag,0.32649937,0.6022915
April,April,begin,beginnen,0.32055977,0.4180827
August,August,August,August,1.0,1.0
August,August,September,September,0.86804193,0.8369316
August,August,October,Oktober,0.8328768,0.84099513
August,August,November,November,0.8022118,0.8268756
August,August,December,Dezember,0.77862304,0.82730794
August,August,February,Februar,0.73541737,0.755078
August,August,January,Januar,0.70648557,0.7307189
August,August,April,April,0.68302214,0.76261836
August,August,autumn,Herbst,0.51089174,0.38060537
August,August,Thursday,Donnerstag,0.5090693,0.47160774
August,August,spring,Frühling,0.4930626,0.19656979
August,August,March,März,0.48175406,-0.09517959
August,August,fog,Nebel,0.47633982,0.26237053
August,August,morning,Morgen,0.4692175,0.30949366
August,August,forehead,Stirn,0.45415342,0.10010056
August,August,filth,Dreck,0.4408866,-0.16537976
August,August,eleven,elf,0.43082806,0.22892973
August,August,Tuesday,Dienstag,0.42463875,0.47902983
August,August,Friday,Freitag,0.42349404,0.48104444
August,August,Saturday,Samstag,0.4210212,0.46926084
August,August,oar,Ruder,0.41529036,0.112664476
August,August,year,Jahr,0.40628356,-0.012578595
August,August,afterwards,danach,0.39065906,0.2196012
August,August,take,nehmen,0.3906442,0.38439697
August,August,place,Ort,0.39044362,0.1535609
August,August,place,setzen,0.39044362,0.17675726
December,Dezember,December,Dezember,1.0000001,0.99999994
December,Dezember,November,November,0.936966,0.96376646
December,Dezember,September,September,0.90052485,0.91161174
December,Dezember,October,Oktober,0.8829655,0.9026555
December,Dezember,February,Februar,0.8321295,0.81638676
December,Dezember,August,August,0.778623,0.82730794
December,Dezember,January,Januar,0.76523423,0.8081657
December,Dezember,April,April,0.73114747,0.7887278
December,Dezember,autumn,Herbst,0.4868784,0.45568454
December,Dezember,Thursday,Donnerstag,0.47825414,0.5326485
December,Dezember,Saturday,Samstag,0.47376165,0.5309497
December,Dezember,Friday,Freitag,0.47325003,0.5233999
December,Dezember,morning,Morgen,0.4609483,0.25240415
December,Dezember,fog,Nebel,0.45164746,0.31292567
December,Dezember,forehead,Stirn,0.44365132,0.18112212
December,Dezember,spring,Frühling,0.44340485,0.2920723
December,Dezember,March,März,0.43320766,-0.0037592389
December,Dezember,turn out,geraten,0.42422083,0.31588393
December,Dezember,Tuesday,Dienstag,0.41376385,0.5994233
December,Dezember,Monday,Montag,0.4115418,0.46325666
