src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,चाहना,-たい,चाहना,0.99999994,1.0
-たい,चाहना,病気になる,बीमार पड़ना,0.26737878,-8.556247e-05
-たい,चाहना,閉まった,बंद,0.2512156,-0.093080565
-たい,चाहना,ストーブ,चूल्हा,0.24752921,0.19530773
-たい,चाहना,お嬢さん,बेटी,0.23640038,-0.049970444
-たい,चाहना,お嬢さん,पुत्री,0.23640038,0.061334763
-たい,चाहना,～だけ,केवल,0.22220697,0.09753813
-たい,चाहना,～だけ,सिर्फ़,0.22220697,0.02225975
-たい,चाहना,呼び声,पुकार,0.21207494,-0.02125277
-たい,चाहना,呼び声,आह्वान,0.21207494,-0.18460584
-たい,चाहना,裕福な,धनी,0.19401585,-0.022726662
-たい,चाहना,裕福な,अमीर,0.19401585,-0.055803448
-たい,चाहना,きゃんきゃん鳴く,गुर्राना,0.19021438,-0.065622546
-たい,चाहना,到着する,पहुँचना,0.18880087,-0.014283694
-たい,चाहना,気が付く,ध्यान देना पर,0.17832346,0.028101124
-たい,चाहना,元気になる,ठीक हो जाना,0.17142497,-0.09556091
-たい,चाहना,元気になる,स्वस्थ हो जाना,0.17142497,-0.0694844
-たい,चाहना,止まる,रुकना,0.16961917,0.01636941
-たい,चाहना,止まる,खड़ा होना,0.16961917,-0.029310124
-たい,चाहना,そちら,उधर,0.16445251,-0.0228898
-たい,चाहना,そちら,वहाँ,0.16445251,-0.041826457
-たい,चाहना,真ん中,बीच,0.16381726,-0.18405193
-たい,चाहना,真ん中,मध्य,0.16381726,0.04715637
-たい,चाहना,認識する,पहचानना,0.15973571,-0.107953005
-たい,चाहना,起こる,होना,0.15766078,-0.058998547
-たい,चाहना,ズボン,पैंट,0.15729827,0.12654944
-たい,चाहना,ズボン,पतलून,0.15729827,0.021923369
-たい,चाहना,水をやる,सींचना,0.15554515,0.1041311
-たい,चाहना,カップ,प्याला,0.14853022,0.14806497
-たい,चाहना,呼吸する,साँस लेना,0.14777437,-0.15175381
-たい,चाहना,集める,जमा करना,0.14398667,-0.10779346
-たい,चाहना,どこでも,हर जगह,0.14218818,-0.10422597
-たい,चाहना,どこでも,हर स्थान,0.14218818,-0.09784292
-たい,चाहना,強力な,ताक़तवर,0.14157268,0.21368106
-たい,चाहना,強力な,शक्तिशाली,0.14157268,0.042513326
-たい,चाहना,手のひら,हथेली,0.14149024,-0.048363425
あなた,तू,あなた,तू,0.99999994,0.0
あなた,तू,奥さん,बीवी,0.84769326,0.0
あなた,तू,引っ掻く,खुरचना,0.8342601,0.0
あなた,तू,引っ掻く,खुजलाना,0.8342601,0.0
あなた,तू,垣根,बाड़ा,0.8170411,0.0
あなた,तू,揺さぶる,झकझोरना,0.80898017,0.0
あなた,तू,揺さぶる,हिलाना,0.80898017,0.0
あなた,तू,あの時,उस समय,0.8081905,0.0
あなた,तू,あの時,उन दिनों,0.8081905,0.0
あなた,तू,赤い,लाल,0.79248536,0.0
あなた,तू,赤い,सुर्ख़,0.79248536,0.0
あなた,तू,ちょっと,कुछ,0.77778715,0.0
あなた,तू,ちょっと,ज़रा,0.77778715,0.0
あなた,तू,ちょっと,थोड़ा,0.77778715,0.0
あなた,तू,色々な,अलग,0.7775366,0.0
あなた,तू,色々な,भिन्न,0.7775366,0.0
あなた,तू,大きい,बड़ा,0.7311378,0.0
あなた,तू,記憶,याददाश्त,0.6933289,0.0
あなた,तू,記憶,स्मरण-शक्ति,0.6933289,0.0
あなた,तू,こう,ऐसा,0.683,0.0
あなた,तू,叔母,बूआ,0.673948,0.0
あなた,तू,叔母,फूफी,0.673948,0.0
あなた,तू,叔母,ख़ाला,0.673948,0.0
あなた,तू,今日,आज,0.6678166,0.0
あなた,तू,半分,अर्धभाग,0.6431861,0.0
あなた,तू,青い,नीला,0.60355747,0.0
あなた,तू,青い,आसमानी,0.60355747,0.0
あなた,तू,息子,बेटा,0.60346526,0.0
あなた,तू,息子,पुत्र,0.60346526,0.0
あなた,तू,呼吸,दम,0.6032467,0.0
あなた,तू,呼吸,साँस,0.6032467,0.0
あなた,तू,呼吸,श्वास,0.6032467,0.0
あなた,तू,名前,नाम,0.59021676,0.0
あなた,तू,あなた達,तुम,0.5731163,0.0
あなた,तू,動物,पशु,0.5627692,0.0
あなた,तू,動物,जानवर,0.5627692,0.0
あなた,तू,それ,वह,0.5606529,0.0
あなた,तू,過去に,एक दिन,0.5482046,0.0
あなた,तू,過去に,पहले कभी,0.5482046,0.0
あなた,तू,フォーク,काँटा,0.5347189,0.0
あなた,तू,健康,स्वास्थ्य,0.5343741,0.0
あなた,तू,健康,तंदुरुस्ती,0.5343741,0.0
あなた達,तुम,あなた達,तुम,1.0,1.0
あなた達,तुम,色々な,अलग,0.8236966,0.056551248
あなた達,तुम,色々な,भिन्न,0.8236966,-0.09215063
あなた達,तुम,赤い,लाल,0.7941614,0.09748773
あなた達,तुम,赤い,सुर्ख़,0.7941614,0.12558718
あなた達,तुम,垣根,बाड़ा,0.7830092,0.07599479
あなた達,तुम,ちょっと,कुछ,0.78207785,0.062284116
あなた達,तुम,ちょっと,ज़रा,0.78207785,0.21161631
あなた達,तुम,ちょっと,थोड़ा,0.78207785,0.09178202
