src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,lassen,-आना,lassen,1.0,1.0
-आना,lassen,पुराना,alt,0.29510927,0.22029251
-आना,lassen,चमड़ा,Leder,0.29177088,0.42397797
-आना,lassen,स्वप्न,Traum,0.26528835,0.21322514
-आना,lassen,जानु,Knie,0.25803405,-0.04951858
-आना,lassen,कोयल,Kuckuck,0.25706726,-0.07633525
-आना,lassen,डरना,sich fürchten,0.24686839,0.5188117
-आना,lassen,आदमी,Mann,0.24277599,0.048801504
-आना,lassen,पगडंडी,Pfad,0.23772146,0.018021218
-आना,lassen,सत्तर,siebzig,0.23760504,0.2996018
-आना,lassen,मराल,Schwan,0.23241189,0.21398857
-आना,lassen,हत्था,Griff,0.23216969,0.20117813
-आना,lassen,भारी,schwer,0.22910808,0.39032775
-आना,lassen,ताक़त,Stärke,0.22744432,0.38634595
-आना,lassen,उपहार,Geschenk,0.2267853,0.05215321
-आना,lassen,पहले,vorher,0.2261734,0.33191395
-आना,lassen,पहले,zuerst,0.2261734,0.38771933
-आना,lassen,दूसरा,anderer,0.22553906,0.3479727
-आना,lassen,दूसरा,zweiter,0.22553906,0.046565812
-आना,lassen,वैद्य,Arzt,0.22326775,-0.15285659
-आना,lassen,दाम,Preis,0.22194584,0.041500896
-आना,lassen,कपड़ा,Stoff,0.21971247,0.14512484
-आना,lassen,कम,klein,0.2184658,0.20920344
-आना,lassen,चुनना,wählen,0.21657121,0.4394666
-आना,lassen,चुनना,auswählen,0.21657121,0.5214834
-आना,lassen,चुनना,pflücken,0.21657121,0.61638486
-आना,lassen,आसमानी,blau,0.21597849,0.27391466
-आना,lassen,शब्द,Wort,0.2150179,0.16990563
-आना,lassen,कारण,Grund,0.21496697,0.11003603
अँगुली,Finger,अँगुली,Finger,1.0000001,1.0
अँगुली,Finger,सर्दी,Kälte,0.33884072,0.39598423
अँगुली,Finger,घटना,sinken,0.29597214,0.20320296
अँगुली,Finger,घटना,abnehmen,0.29597214,0.30478078
अँगुली,Finger,हर जगह,überall,0.2852314,0.263285
अँगुली,Finger,दर्पण,Spiegel,0.2836856,0.29833826
अँगुली,Finger,रंग,Farbe,0.26591048,0.20647761
अँगुली,Finger,नवंबर,November,0.26126745,0.32701218
अँगुली,Finger,निकल भागना,flüchten,0.2608251,0.15144661
अँगुली,Finger,मोड़ना,wenden,0.25876993,0.2677087
अँगुली,Finger,खिसकाना,schieben,0.25273508,0.27294233
अँगुली,Finger,लफ़्ज़,Wort,0.2497672,0.09062537
अँगुली,Finger,चूल्हा,Ofen,0.24525164,0.028759211
अँगुली,Finger,चप्पू,Ruder,0.23969305,0.4336183
अँगुली,Finger,दूसरा,anderer,0.2350821,0.3152865
अँगुली,Finger,दूसरा,zweiter,0.2350821,0.35802883
अँगुली,Finger,अभ्र,Wolke,0.2288048,0.42104325
अँगुली,Finger,पुतली,Puppe,0.22869715,0.34444964
अँगुली,Finger,भ्राता,Bruder,0.21929212,0.45469528
अँगुली,Finger,नापना,messen,0.21805492,0.3241085
अँगुली,Finger,पाँव की उँगली,Zeh,0.21142645,0.03312078
अँगुली,Finger,गँवाना,verlieren,0.20991258,0.20782006
अँगुली,Finger,सर्द,kalt,0.20699616,0.26054654
अँगुली,Finger,चर्च,Kirche,0.20282517,0.4828235
अँगुली,Finger,गंद,Schmutz,0.2022156,0.2182787
अँगुली,Finger,कोना,Ecke,0.19977212,-0.039007295
अँगुली,Finger,कोना,Winkel,0.19977212,0.26088914
अँगुली,Finger,बारिश,Regen,0.19494322,0.3470921
अँगूठी,Ring,अँगूठी,Ring,0.99999994,1.0
अँगूठी,Ring,चक्षु,Auge,0.28595185,-0.015676342
अँगूठी,Ring,उपांत,Rand,0.27632597,0.2661963
अँगूठी,Ring,जवान,jung,0.2738511,-0.057028186
अँगूठी,Ring,झुंड,Schwarm,0.26583284,0.018587552
अँगूठी,Ring,ख़त,Brief,0.26331735,0.06130099
अँगूठी,Ring,केवल,nur,0.2500095,-0.006375961
अँगूठी,Ring,के सामने,vor,0.23728175,0.11675811
अँगूठी,Ring,फ़रवरी,Februar,0.23080306,0.0049263276
अँगूठी,Ring,पहेली,Rätsel,0.22696634,0.058465134
अँगूठी,Ring,चरबी,Fett,0.22471914,-0.04422235
अँगूठी,Ring,देग़,Kessel,0.22201873,-0.21390733
अँगूठी,Ring,हत्था,Griff,0.22042021,0.013166916
अँगूठी,Ring,अक्सर,oft,0.21622133,0.030064426
अँगूठी,Ring,अक़्ल,Verstand,0.21416733,-0.046973374
अँगूठी,Ring,राह,Straße,0.21267508,-0.049379095
अँगूठी,Ring,झूठ,Lüge,0.2115394,0.102088526
अँगूठी,Ring,स्मरण-शक्ति,Gedächtnis,0.21106584,0.013390239
अँगूठी,Ring,नमूना,Muster,0.21090502,-0.16780487
अँगूठी,Ring,बंद जाना,aufhören,0.20736787,0.22969365
अँगूठी,Ring,सुधारना,verbessern,0.20712285,0.119960226
अँगूठी,Ring,नीला,blau,0.20507275,-0.028964452
अँगूठी,Ring,नाम देना,nennen,0.19815585,0.1378465
अँगूठी,Ring,सूरज,Sonne,0.19776535,-0.061660357
अँगूठी,Ring,हाँकना,treiben,0.19762598,0.017725777
अँगोछा,Handtuch,अँगोछा,Handtuch,0.99999994,1.0
अँगोछा,Handtuch,एक दफ़ा,einmal,0.29958943,0.38992077
अँगोछा,Handtuch,चिढ़ाना,ärgern,0.2992532,0.48138678
अँगोछा,Handtuch,बेटा,Sohn,0.29352593,-0.031597953
अँगोछा,Handtuch,पकड़ना,ergreifen,0.29161492,0.3825184
अँगोछा,Handtuch,पकड़ना,halten,0.29161492,0.36967307
अँगोछा,Handtuch,पकड़ना,fangen,0.29161492,0.577191
अँगोछा,Handtuch,पकड़ना,packen,0.29161492,0.64464843
अँगोछा,Handtuch,पकड़ना,fassen,0.29161492,0.5402432
अँगोछा,Handtuch,बिल,Bau,0.2795401,0.05166144
अँगोछा,Handtuch,उदास,traurig,0.27266148,0.6239716
अँगोछा,Handtuch,द्वितीय,zweiter,0.24699931,0.41408008
अँगोछा,Handtuch,चपटा,flach,0.24560072,0.6862805
अँगोछा,Handtuch,खिड़की,Fenster,0.24254768,0.6508683
अँगोछा,Handtuch,लड़की,Mädchen,0.23700938,0.5418686
अँगोछा,Handtuch,शेख़ी बघारना,prahlen,0.23451461,0.45641077
अँगोछा,Handtuch,शीर्ष,Kopf,0.22920807,0.4627209
अँगोछा,Handtuch,नरम,weich,0.2287693,0.5828632
अँगोछा,Handtuch,होशियार,klug,0.22746591,0.50013185
अँगोछा,Handtuch,स्वस्थ हो जाना,genesen,0.22308394,0.41219577
अँगोछा,Handtuch,माता-पिता,Eltern,0.22211775,0.55997545
अँगोछा,Handtuch,समझ,Verstand,0.22100723,0.23500389
अँगोछा,Handtuch,मिलना से,besuchen,0.22053666,0.3402854
अँगोछा,Handtuch,गंद,Schmutz,0.22037607,0.42023963
अँगोछा,Handtuch,भालू,Bär,0.21907121,0.18859221
अँगोछा,Handtuch,भय खाना से,fürchten,0.21723926,0.44884682
अँगोछा,Handtuch,कोण,Winkel,0.2160878,0.69843817
अँगोछा,Handtuch,ढाल,Abhang,0.21573362,0.33999246
अँगोछा,Handtuch,माँगना से,bitten,0.21533188,0.53823066
अँधेरा,dunkel,अँधेरा,dunkel,0.9999999,1.0
अँधेरा,dunkel,जिह्वा,Zunge,0.32118326,0.5366487
अँधेरा,dunkel,मक्खन,Butter,0.2783636,0.62084484
अँधेरा,dunkel,चिड़िया,Vogel,0.2757518,0.41569236
अँधेरा,dunkel,धरना,halten,0.2692159,0.4822825
अँधेरा,dunkel,लाना,bringen,0.26783648,0.4220749
अँधेरा,dunkel,स्वप्न,Traum,0.2642874,0.6063116
अँधेरा,dunkel,ख़बर देना,mitteilen,0.26416743,0.56018806
अँधेरा,dunkel,मूखी घास,Heu,0.26319665,0.025845744
अँधेरा,dunkel,मूल्यवान्,wertvoll,0.2579904,0.6966573
अँधेरा,dunkel,पंक्ति,Reihe,0.2460279,0.43642727
अँधेरा,dunkel,थकना,müde werden,0.23732504,0.4300579
अँधेरा,dunkel,सीटी देना,pfeifen,0.23603876,0.669827
अँधेरा,dunkel,धूआँ,Rauch,0.23370339,0.7119276
अँधेरा,dunkel,स्याह,schwarz,0.23097731,0.589203
अँधेरा,dunkel,नष्ट करना,zerstören,0.22640236,0.442092
अँधेरा,dunkel,सत्ता,Macht,0.22157726,0.4476753
अँधेरा,dunkel,सौदा,Geschäft,0.22125344,-0.029586714
अँधेरा,dunkel,गृह,Heim,0.22009099,0.092983246
अँधेरा,dunkel,खाट,Bett,0.21785234,0.014581585
अँधेरा,dunkel,डोरा,Faden,0.21752164,0.60833895
अँधेरा,dunkel,बलवान्,stark,0.21609253,0.50521874
अँधेरा,dunkel,पतझड़,Herbst,0.21539472,0.41890082
अँधेरा,dunkel,जीतना,siegen,0.20785755,0.23509443
अँधेरा,dunkel,उछलना,springen,0.20695922,0.49540642
अंकुश,Haken,अंकुश,Haken,1.0,1.0
अंकुश,Haken,कोशिश करना,versuchen,0.3343215,0.5490835
अंकुश,Haken,समाप्त करना,beenden,0.30226928,0.527776
अंकुश,Haken,सैर करना,spazierengehen,0.29788586,0.6017068
अंकुश,Haken,तेज़ करना,schleifen,0.28987482,0.63529336
अंकुश,Haken,बंद करना,schließen,0.27418494,0.48533738
अंकुश,Haken,परीवर्तन करना,ändern,0.2604734,0.4585683
अंकुश,Haken,डाँस,Mücke,0.25779098,0.36026126
अंकुश,Haken,वहाँ,dort,0.25723663,0.3831427
अंकुश,Haken,छोटा,klein,0.25510812,0.3226879
अंकुश,Haken,छोटा,kurz,0.25510812,0.35007286
अंकुश,Haken,रोशनी,Licht,0.24709094,0.40351528
अंकुश,Haken,मुसीबत,Unglück,0.24311456,0.5562601
अंकुश,Haken,रक्षा करना,schützen,0.23649122,0.4841298
अंकुश,Haken,रक्षा करना,verteidigen,0.23649122,0.606593
अंकुश,Haken,धनी,reich,0.2342943,0.38664272
