src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,soir,Abend,soir,1.0,1.0
Abend,soir,Abend,soirée,1.0,0.8464606
Abend,soirée,Abend,soir,1.0,0.8464606
Abend,soirée,Abend,soirée,1.0,0.99999994
Abend,soir,Mittag,midi,0.67548764,0.63129246
Abend,soirée,Mittag,midi,0.67548764,0.5724834
Abend,soir,Kälte,froid,0.63578916,0.27898324
Abend,soirée,Kälte,froid,0.63578916,0.10855859
Abend,soir,hungrig,affamé,0.6266638,0.24488844
Abend,soirée,hungrig,affamé,0.6266638,0.17092489
Abend,soir,läuten,sonner,0.6036593,0.23442826
Abend,soirée,läuten,sonner,0.6036593,0.15442026
Abend,soir,Sünde,péché,0.5990387,0.0038930941
Abend,soirée,Sünde,péché,0.5990387,-0.08432087
Abend,soir,vorher,auparavant,0.5915394,0.18376426
Abend,soirée,vorher,auparavant,0.5915394,0.14663973
Abend,soir,hierhin,par ici,0.58447146,0.023734365
Abend,soirée,hierhin,par ici,0.58447146,0.07858314
Abend,soir,stoßen,heurter,0.581952,0.3975146
Abend,soirée,stoßen,heurter,0.581952,0.21649477
Abend,soir,prahlen,se vanter,0.58048123,0.23997626
Abend,soirée,prahlen,se vanter,0.58048123,0.23317124
Abend,soir,Träne,larme,0.57414126,0.3700351
Abend,soirée,Träne,larme,0.57414126,0.33788192
Abend,soir,fallen lassen,lâcher,0.5740427,0.11671373
Abend,soir,fallen lassen,laisser tomber,0.5740427,0.24092798
Abend,soirée,fallen lassen,lâcher,0.5740427,0.011089935
Abend,soirée,fallen lassen,laisser tomber,0.5740427,0.12521008
Abend,soir,Mütze,bonnet,0.5738582,0.3201898
Abend,soir,Mütze,casquette,0.5738582,0.2491765
Abend,soirée,Mütze,bonnet,0.5738582,0.21473709
Abend,soirée,Mütze,casquette,0.5738582,0.22478902
Abend,soir,nähen,coudre,0.57349783,0.23362836
Abend,soirée,nähen,coudre,0.57349783,0.014091436
Abend,soir,morgen,demain,0.57319486,0.57951015
Abend,soirée,morgen,demain,0.57319486,0.4472805
Abend,soir,eintreten,entrer,0.5703616,0.23766932
Abend,soirée,eintreten,entrer,0.5703616,0.17919102
Abend,soir,hinfallen,tomber,0.56902826,0.31381416
Abend,soirée,hinfallen,tomber,0.56902826,0.22483632
Abend,soir,anhalten,s'arrêter,0.5630899,0.2577311
Abend,soirée,anhalten,s'arrêter,0.5630899,0.1926027
Abend,soir,auswählen,choisir,0.5603562,0.22336689
Abend,soir,auswählen,sélectionner,0.5603562,0.24382389
Abend,soirée,auswählen,choisir,0.5603562,0.15082231
Abend,soirée,auswählen,sélectionner,0.5603562,0.21036597
Abend,soir,Gang,tour,0.55745906,0.34323835
Abend,soir,Gang,marche,0.55745906,0.26299837
Abend,soirée,Gang,tour,0.55745906,0.26929477
Abend,soirée,Gang,marche,0.55745906,0.17072967
Abend,soir,aufhören,cesser,0.55528957,0.24685782
Abend,soir,aufhören,arrêter,0.55528957,-0.086713985
Abend,soirée,aufhören,cesser,0.55528957,0.118098736
Abend,soirée,aufhören,arrêter,0.55528957,-0.098839544
Abend,soir,vorwärts,en avant,0.54738563,0.31632775
Abend,soirée,vorwärts,en avant,0.54738563,0.1620611
Abend,soir,Fliege,mouche,0.5469336,0.1685026
Abend,soirée,Fliege,mouche,0.5469336,0.115535885
Abend,soir,Arznei,remède,0.54598534,0.08143005
Abend,soir,Arznei,médecine,0.54598534,0.16846599
Abend,soirée,Arznei,remède,0.54598534,0.09762327
Abend,soirée,Arznei,médecine,0.54598534,0.0700317
Abend,soir,zurücklassen,laisser,0.5445306,0.19246708
Abend,soirée,zurücklassen,laisser,0.5445306,0.062298086
Abhang,pente,Abhang,pente,1.0,1.0
Abhang,pente,Abhang,versant,1.0,0.65749276
Abhang,versant,Abhang,pente,1.0,0.65749276
Abhang,versant,Abhang,versant,1.0,1.0
Abhang,pente,Stamm,tronc,0.61470157,0.60021484
Abhang,versant,Stamm,tronc,0.61470157,0.6293766
Abhang,pente,Eimer,seau,0.57777053,0.59524643
Abhang,versant,Eimer,seau,0.57777053,0.6428028
Abhang,pente,abreißen,arracher,0.55540186,0.34901732
Abhang,versant,abreißen,arracher,0.55540186,0.2466692
Abhang,pente,Geruch,odeur,0.5471435,0.5251005
Abhang,versant,Geruch,odeur,0.5471435,0.48462826
Abhang,pente,Gürtel,ceinture,0.54113084,0.5460255
Abhang,versant,Gürtel,ceinture,0.54113084,0.42790806
Abhang,pente,Gegenstand,objet,0.5278487,0.13233104
Abhang,versant,Gegenstand,objet,0.5278487,0.18524379
Abhang,pente,Monat,mois,0.52761215,0.19003382
Abhang,versant,Monat,mois,0.52761215,0.16829962
Abhang,pente,Kessel,chaudron,0.52665335,0.5096439
