src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,शाम,Abend,शाम,1.0,1.0
Abend,शाम,Abend,संध्या,1.0,0.21750164
Abend,संध्या,Abend,शाम,1.0,0.21750164
Abend,संध्या,Abend,संध्या,1.0,1.0
Abend,शाम,Mittag,दोपहर,0.5689231,-0.02981668
Abend,शाम,Mittag,मध्याह्न,0.5689231,0.0735896
Abend,संध्या,Mittag,दोपहर,0.5689231,-0.10030494
Abend,संध्या,Mittag,मध्याह्न,0.5689231,0.04834006
Abend,शाम,Samstag,सनीचर,0.49524423,-0.004469961
Abend,शाम,Samstag,शनिवार,0.49524423,0.03560181
Abend,संध्या,Samstag,सनीचर,0.49524423,-0.07961492
Abend,संध्या,Samstag,शनिवार,0.49524423,0.017696979
Abend,शाम,morgen,कल,0.47102517,-0.017619412
Abend,संध्या,morgen,कल,0.47102517,0.13568622
Abend,शाम,Sonntag,इतवार,0.46678817,-0.13429369
Abend,शाम,Sonntag,रविवार,0.46678817,-0.11071266
Abend,संध्या,Sonntag,इतवार,0.46678817,-0.084477395
Abend,संध्या,Sonntag,रविवार,0.46678817,-0.23892312
Abend,शाम,Januar,जनवरी,0.45594367,-0.13931236
Abend,संध्या,Januar,जनवरी,0.45594367,0.059443373
Abend,शाम,April,अप्रैल,0.45379728,0.21243557
Abend,संध्या,April,अप्रैल,0.45379728,-0.011413585
Abend,शाम,Dezember,दिसंबर,0.4536986,-0.16193104
Abend,संध्या,Dezember,दिसंबर,0.4536986,-0.21290693
Abend,शाम,sechzig,साठ,0.44963273,-0.025220387
Abend,संध्या,sechzig,साठ,0.44963273,-0.043391123
Abend,शाम,Oktober,अक्तूबर,0.44429174,-0.052261587
Abend,संध्या,Oktober,अक्तूबर,0.44429174,0.012442125
Abend,शाम,Februar,फ़रवरी,0.44404137,0.027055874
Abend,संध्या,Februar,फ़रवरी,0.44404137,0.0004225336
Abend,शाम,fünfzig,पचास,0.43830317,0.0033120401
Abend,संध्या,fünfzig,पचास,0.43830317,-0.05400902
Abend,शाम,Löffel,चम्मच,0.43007392,0.016307801
Abend,संध्या,Löffel,चम्मच,0.43007392,0.007173734
Abend,शाम,Freitag,शुक्रवार,0.42835152,0.1257416
Abend,संध्या,Freitag,शुक्रवार,0.42835152,0.14112245
Abend,शाम,November,नवंबर,0.42649102,0.017100066
Abend,संध्या,November,नवंबर,0.42649102,-0.035658732
Abend,शाम,Montag,पीर,0.4123096,0.040719785
Abend,शाम,Montag,सोमवार,0.4123096,-0.07147589
Abend,संध्या,Montag,पीर,0.4123096,0.09870984
Abend,संध्या,Montag,सोमवार,0.4123096,-0.061357997
Abend,शाम,Dienstag,मंगलवार,0.41067165,0.056522034
Abend,संध्या,Dienstag,मंगलवार,0.41067165,-0.19723871
Abend,शाम,Genick,गरदन,0.41006666,-0.04088552
Abend,शाम,Genick,ग्रीवा,0.41006666,0.0006996393
Abend,संध्या,Genick,गरदन,0.41006666,0.1594641
Abend,संध्या,Genick,ग्रीवा,0.41006666,-0.04672358
Abend,शाम,singen,गाना,0.40150508,-0.040332336
Abend,संध्या,singen,गाना,0.40150508,0.11221731
Abend,शाम,Mitte,बीच,0.39603162,-0.14797579
Abend,शाम,Mitte,मध्य,0.39603162,-0.048672304
Abend,संध्या,Mitte,बीच,0.39603162,-0.09488197
Abend,संध्या,Mitte,मध्य,0.39603162,0.007652227
Abend,शाम,August,अगस्त,0.39598733,0.023745768
Abend,संध्या,August,अगस्त,0.39598733,-0.04606527
Abend,शाम,neunzig,नव्वे,0.39424163,-0.097261116
Abend,संध्या,neunzig,नव्वे,0.39424163,-0.033892937
Abend,शाम,sich unterhalten,बात करना,0.3896253,-0.11551138
Abend,शाम,sich unterhalten,बातचीत करना,0.3896253,-0.17071842
Abend,संध्या,sich unterhalten,बात करना,0.3896253,0.09823167
Abend,संध्या,sich unterhalten,बातचीत करना,0.3896253,0.1030697
Abend,शाम,Fingernagel,नख,0.38542962,0.0
Abend,शाम,Fingernagel,नाख़ून,0.38542962,-0.01964283
Abend,संध्या,Fingernagel,नख,0.38542962,0.0
Abend,संध्या,Fingernagel,नाख़ून,0.38542962,0.0747191
Abend,शाम,Tanne,फ़र,0.38033298,-0.022452675
Abend,संध्या,Tanne,फ़र,0.38033298,-0.095331624
Abhang,ढाल,Abhang,ढाल,0.9999998,1.0
Abhang,ढाल,Abhang,ढलान,0.9999998,0.14700636
Abhang,ढलान,Abhang,ढाल,0.9999998,0.14700636
Abhang,ढलान,Abhang,ढलान,0.9999998,1.0
Abhang,ढाल,Genick,गरदन,0.62754744,0.25868136
Abhang,ढाल,Genick,ग्रीवा,0.62754744,0.038358457
Abhang,ढलान,Genick,गरदन,0.62754744,0.038066246
Abhang,ढलान,Genick,ग्रीवा,0.62754744,0.09277206
Abhang,ढाल,Beutel,झोला,0.625929,0.035247788
Abhang,ढलान,Beutel,झोला,0.625929,0.0007359348
Abhang,ढाल,blind,अंधा,0.6003395,-0.1184804
Abhang,ढलान,blind,अंधा,0.6003395,-0.092831686
Abhang,ढाल,Pfeil,बान,0.5938336,-0.030659534
Abhang,ढलान,Pfeil,बान,0.5938336,0.014093265
Abhang,ढाल,Silber,रजत,0.5529433,0.015336115
Abhang,ढाल,Silber,चाँदी,0.5529433,-0.11326724
Abhang,ढलान,Silber,रजत,0.5529433,-0.0967426
