src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,wollen,-たい,wollen,0.99999994,1.0
-たい,wollen,病気になる,krank werden,0.26737878,0.3561058
-たい,wollen,閉まった,geschlossen,0.2512156,0.32748523
-たい,wollen,ストーブ,Ofen,0.24752921,-0.11400063
-たい,wollen,お嬢さん,Tochter,0.23640038,0.26631308
-たい,wollen,～だけ,nur,0.22220697,0.40234587
-たい,wollen,呼び声,Ruf,0.21207494,-0.067839995
-たい,wollen,裕福な,reich,0.19401585,0.34677467
-たい,wollen,きゃんきゃん鳴く,heulen,0.19021438,0.3351516
-たい,wollen,到着する,ankommen,0.18880087,0.64069796
-たい,wollen,気が付く,bemerken,0.17832346,0.5600349
-たい,wollen,元気になる,genesen,0.17142497,0.41808066
-たい,wollen,止まる,anhalten,0.16961917,0.4426131
-たい,wollen,あの時,damals,0.16708402,0.18723905
-たい,wollen,そちら,dort,0.16445251,0.29805154
-たい,wollen,真ん中,Mitte,0.16381726,0.2875563
-たい,wollen,揺さぶる,rütteln,0.16370147,0.5444266
-たい,wollen,揺さぶる,schütteln,0.16370147,0.54856616
-たい,wollen,認識する,erkennen,0.15973571,0.48124593
-たい,wollen,起こる,passieren,0.15766078,0.50091887
-たい,wollen,ズボン,Hose,0.15729827,0.011874534
-たい,wollen,水をやる,gießen,0.15554515,0.23188849
-たい,wollen,カップ,Tasse,0.14853022,0.29631716
-たい,wollen,呼吸する,atmen,0.14777437,0.46165562
-たい,wollen,集める,sammeln,0.14398667,0.40686038
-たい,wollen,どこでも,überall,0.14218818,0.22533935
あなた,du,あなた,du,0.99999994,1.0
あなた,du,バケツ,Eimer,0.3310496,0.22736639
あなた,du,励ます,antreiben,0.30433962,0.0956544
あなた,du,感じる,fühlen,0.25463605,0.18524647
あなた,du,疾駆する,sausen,0.25401562,0.10796896
あなた,du,盲目の,blind,0.25120932,0.3132754
あなた,du,加える,hinzufügen,0.24737076,0.2844941
あなた,du,最初に,zuerst,0.24501328,0.24481583
あなた,du,器用な,geschickt,0.24412152,0.28966093
あなた,du,揺さぶる,rütteln,0.24109592,0.038510114
あなた,du,揺さぶる,schütteln,0.24109592,0.10806834
あなた,du,ペンキ,Farbe,0.23768595,0.16280714
