language_id,word_form,concept_id,concept_number,eng_word_form,semantic_domain
ekk,silm,Auge::N,1,eye,The body
ekk,kõrv,Ohr::N,2,ear,The body
ekk,nina,Nase::N,3,nose,The body
ekk,suu,Mund::N,4,mouth,The body
ekk,hammas,Zahn::N,5,tooth,The body
ekk,keel,Zunge::N,6,tongue,The body
ekk,huul,Lippe::N,7,lip,The body
ekk,põsk,Wange::N,8,cheek,The body
ekk,nägu,Gesicht::N,9,face,The body
ekk,otsmik,Stirn::N,10,forehead,The body
ekk,juus,Haar::N,11,hair,The body
ekk,vurrud,Schnurrbart::N,12,moustache,The body
ekk,vuntsid,Schnurrbart::N,12,moustache,The body
ekk,habe,Bart::N,13,beard,The body
ekk,lõug,Kinn::N,14,chin,The body
ekk,lõualuu,Kiefer[Anatomie]::N,15,jaw,The body
ekk,kõri,Kehle::N,16,throat,The body
ekk,kael,Hals::N,17,neck,The body
ekk,kukal,Genick::N,18,nape,The body
ekk,pea,Kopf::N,19,head,The body
ekk,selg,Rücken::N,20,back,The body
ekk,selg,Rücken::N,20,spine,The body
ekk,kõht,Bauch::N,21,belly,The body
ekk,naba,Nabel::N,22,navel,The body
ekk,rind,Busen::N,23,bosom,The body
ekk,rind,Brust::N,24,chest,The body
ekk,rind,Brust::N,24,breast,The body
ekk,õlg,Schulter::N,25,shoulder,The body
ekk,käsivars,Arm::N,26,arm,The body
ekk,küünarnukk,Ellenbogen::N,27,elbow,The body
ekk,käsi,Hand::N,28,hand,The body
ekk,pihk,Handfläche::N,29,palm,The body
ekk,sõrm,Finger::N,30,finger,The body
ekk,küüs,Fingernagel::N,31,fingernail,The body
ekk,küüs,Nagel[Anatomie]::N,32,nail,The body
ekk,varvas,Zeh::N,33,toe,The body
ekk,jalg,Fuß::N,34,foot,The body
ekk,kand,Ferse::N,35,heel,The body
ekk,põlv,Knie::N,36,knee,The body
ekk,reis,Oberschenkel::N,37,thigh,The body
ekk,jalg,Bein::N,38,leg,The body
ekk,ihu,Körper::N,39,body,The body
ekk,keha,Körper::N,39,body,The body
ekk,nahk,Haut::N,40,skin,The body
ekk,veri,Blut::N,41,blood,The body
ekk,veen,Ader::N,42,vein,The body
ekk,kõõlus,Sehne::N,43,sinew,The body
ekk,luu,Knochen::N,44,bone,The body
ekk,aju,Gehirn::N,45,brain,The body
ekk,süda,Herz::N,46,heart,The body
ekk,magu,Magen::N,47,stomach,The body
ekk,maks,Leber::N,48,liver,The body
ekk,hingeõhk,Atem::N,49,breath,The body
ekk,hingamine,Atem::N,49,breath,The body
ekk,nälg,Hunger::N,50,hunger,Food and drink
ekk,pisar,Träne::N,51,tear,Emotions and values
ekk,maitse,Geschmack::N,52,flavour,Food and drink
ekk,maitse,Geschmack::N,52,flavor,Food and drink
ekk,lõhn,Geruch::N,53,odor,Sense perception
ekk,lõhn,Geruch::N,53,odour,Sense perception
ekk,uni,Schlaf::N,54,sleep,Basic actions and technology
ekk,unenägu,Traum::N,55,dream,The body
ekk,taevas,Himmel::N,56,sky,The physical world
ekk,päike,Sonne::N,57,sun,The physical world
ekk,kuu,Mond::N,58,moon,The physical world
ekk,täht,Stern::N,59,star,The physical world
ekk,õhk,Luft::N,60,air,The physical world
ekk,tuul,Wind::N,61,wind,The physical world
ekk,laine,Welle::N,62,wave,The physical world
ekk,vesi,Wasser::N,63,water,The physical world
ekk,kivi,Stein::N,64,stone,The physical world
ekk,maa,Boden::N,65,ground,The physical world
ekk,maa,Boden::N,65,soil,The physical world
ekk,pinnas,Boden::N,65,ground,The physical world
ekk,pinnas,Boden::N,65,soil,The physical world
ekk,maa,Erde::N,66,earth,The physical world
ekk,põrm,Staub::N,67,dust,The physical world
ekk,suits,Rauch::N,68,smoke,The physical world
ekk,säde,Funke::N,69,spark,The physical world
ekk,tuli,Feuer::N,70,fire,The physical world
ekk,valgus,Licht::N,71,light,The physical world
ekk,vari,Schatten::N,72,shadow,The physical world
ekk,ilm,Wetter::N,73,weather,The physical world
ekk,udu,Nebel::N,74,fog,The physical world
ekk,pilv,Wolke::N,75,cloud,The physical world
ekk,sadu,Regen::N,76,rain,The physical world
ekk,lumi,Schnee::N,77,snow,The physical world
ekk,jää,Eis::N,78,ice,The physical world
ekk,pakane,Frost::N,79,frost,Sense perception
ekk,külm,Kälte::N,80,chill,Sense perception
ekk,külmus,Kälte::N,80,chill,Sense perception
ekk,kuumus,Hitze::N,81,heat,The physical world
ekk,palavus,Hitze::N,81,heat,The physical world
ekk,härmatis,Raureif::N,82,hoarfrost,Sense perception
ekk,vikerkaar,Regenbogen::N,83,rainbow,The physical world
ekk,kõu,Donner::N,84,thunder,The physical world
ekk,müristamine,Donner::N,84,thunder,The physical world
ekk,voolus,Strömung::N,85,current,The physical world
ekk,jõevool,Strömung::N,85,current,The physical world
ekk,tilk,Tropfen::N,86,drop,Quantity
ekk,vaht,Schaum::N,87,foam,The physical world
ekk,pori,Schmutz::N,88,dirt,Sense perception
ekk,mustus,Schmutz::N,88,dirt,Sense perception
ekk,järv,See::N,89,lake,The physical world
ekk,soo,Sumpf::N,90,swamp,The physical world
ekk,raba,Moor::N,91,moor,The physical world
ekk,aas,Wiese::N,92,meadow,The physical world
ekk,nurm,Wiese::N,92,meadow,The physical world
ekk,mets,Wald::N,93,forest,The physical world
ekk,küngas,Hügel::N,94,hill,The physical world
ekk,küngas,Anhöhe::N,95,elevation,The physical world
ekk,mägi,Berg::N,96,mountain,The physical world
ekk,mäetipp,Gipfel::N,97,summit,The physical world
ekk,koobas,Höhle::N,98,cave,The physical world
ekk,nõlvak,Abhang::N,99,slope,The physical world
ekk,allikas,Quelle::N,100,source,The physical world
ekk,oja,Bach::N,101,brook,The physical world
ekk,jõgi,Fluss::N,102,river,The physical world
ekk,kallas,Ufer::N,103,shore,The physical world
ekk,rannik,Küste::N,104,coast,The physical world
ekk,mander,Festland::N,105,land,The physical world
ekk,maismaa,Festland::N,105,land,The physical world
ekk,meri,Meer::N,106,sea,The physical world
ekk,laht,Bucht::N,107,cove,The physical world
ekk,saar,Insel::N,108,island,The physical world
ekk,lill,Blume::N,109,flower,Agriculture and vegetation
ekk,rohi,Gras::N,110,grass,Agriculture and vegetation
ekk,juur,Wurzel::N,111,root,Agriculture and vegetation
ekk,puu,Baum::N,112,tree,Agriculture and vegetation
ekk,tüvi,Stamm::N,113,trunk,Agriculture and vegetation
ekk,koor,Rinde::N,114,bark,Agriculture and vegetation
ekk,oks,Ast::N,115,limb,The physical world
ekk,oks,Zweig::N,116,branch,Agriculture and vegetation
ekk,leht,Blatt::N,117,leaf,Agriculture and vegetation
ekk,kask,Birke::N,118,birch,Agriculture and vegetation
ekk,mänd,Kiefer[Baum]::N,119,pine,Agriculture and vegetation
ekk,paju,Weide[Baum]::N,120,willow,Agriculture and vegetation
ekk,nulg,Tanne::N,121,fir,Agriculture and vegetation
ekk,sarv,Horn::N,122,horn,The body
ekk,sulg,Feder::N,123,feather,The body
ekk,karvkate,Fell::N,124,fur,Clothing and grooming
ekk,karusnahk,Fell::N,124,fur,Clothing and grooming
ekk,tiib,Flügel::N,125,wing,The body
ekk,tiivik,Flügel::N,125,wing,The body
ekk,küüs,Klaue::N,126,claw,Animals
ekk,küünis,Kralle::N,127,claw,Animals
ekk,saba,Schwanz::N,128,tail,The body
ekk,muna,Ei::N,129,egg,Food and drink
ekk,pesa,Nest::N,130,nest,Animals
ekk,urg,Bau::N,131,lair,Animals
ekk,loom,Tier::N,132,animal,Animals
ekk,kari,Herde::N,133,flock,Animals
ekk,lehm,Kuh::N,134,cow,Animals
ekk,pull,Bulle::N,135,bull,Animals
ekk,hobune,Pferd::N,136,horse,Animals
ekk,lammas,Schaf::N,137,sheep,Animals
ekk,siga,Schwein::N,138,pig,Animals
ekk,koer,Hund::N,139,dog,Animals
ekk,kass,Katze::N,140,cat,Animals
ekk,karu,Bär::N,141,bear,Animals
ekk,orav,Eichhörnchen::N,142,squirrel,Animals
ekk,põder,Elch::N,143,elk,Animals
ekk,rebane,Fuchs::N,144,fox,Animals
ekk,jänes,Hase::N,145,hare,Animals
ekk,hiir,Maus::N,146,mouse,Animals
ekk,hunt,Wolf::N,147,wolf,Animals
ekk,lind,Vogel::N,148,bird,Animals
ekk,parv,Schwarm::N,149,swarm,Animals
ekk,kana,Huhn::N,150,chicken,Animals
ekk,kukk,Hahn::N,151,cock,Animals
ekk,hani,Gans::N,152,goose,Animals
ekk,kotkas,Adler::N,153,eagle,Animals
ekk,part,Ente::N,154,duck,Animals
ekk,kakk,Eule::N,155,owl,Animals
ekk,öökull,Eule::N,155,owl,Animals
ekk,kurg,Kranich::N,156,crane,Animals
ekk,vares,Krähe::N,157,crow,Animals
ekk,kägu,Kuckuck::N,158,cuckoo,Animals
ekk,luik,Schwan::N,159,swan,Animals
ekk,kala,Fisch::N,160,fish,Animals
ekk,ahven,Barsch::N,161,perch,Animals
ekk,haug,Hecht::N,162,pike,Animals
ekk,uss,Schlange[Tier]::N,163,snake,Animals
ekk,uss,Wurm::N,164,worm,Animals
ekk,vagel,Wurm::N,164,worm,Animals
ekk,ämblik,Spinne::N,165,spider,Animals
ekk,sipelgas,Ameise::N,166,ant,Animals
ekk,täi,Laus::N,167,louse,Animals
ekk,sääsk,Mücke::N,168,midge,Animals
ekk,kärbes,Fliege::N,169,fly,Animals
ekk,liblikas,Schmetterling::N,170,butterfly,Animals
ekk,mari,Beere::N,171,berry,Food and drink
