src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,let,-आना,let,1.0,1.0
-आना,let,पुराना,old,0.29510927,0.13814291
-आना,let,चमड़ा,leather,0.29177088,0.28548774
-आना,let,स्वप्न,dream,0.26528835,0.3630148
-आना,let,जानु,knee,0.25803405,0.27285388
-आना,let,कोयल,cuckoo,0.25706726,0.44330937
-आना,let,डरना,be afraid,0.24686839,0.6945589
-आना,let,आदमी,man,0.24277599,0.22862604
-आना,let,पगडंडी,path,0.23772146,0.25988966
-आना,let,सत्तर,seventy,0.23760504,0.15399453
-आना,let,मराल,swan,0.23241189,0.2594248
-आना,let,हत्था,handle,0.23216969,0.23684976
-आना,let,भारी,heavy,0.22910808,0.15856192
-आना,let,ताक़त,strength,0.22744432,0.26188424
-आना,let,उपहार,gift,0.2267853,0.27323967
-आना,let,पहले,before,0.2261734,0.29080814
-आना,let,पहले,at first,0.2261734,0.2993167
-आना,let,दूसरा,other,0.22553906,0.16738501
-आना,let,दूसरा,second,0.22553906,0.20556232
-आना,let,वैद्य,doctor,0.22326775,0.31602383
-आना,let,दाम,price,0.22194584,0.12559642
-आना,let,कपड़ा,cloth,0.21971247,0.103538916
-आना,let,कम,little,0.2184658,0.39971438
-आना,let,चुनना,choose,0.21657121,0.47289515
-आना,let,चुनना,select,0.21657121,0.21099226
-आना,let,चुनना,pick,0.21657121,0.23789936
-आना,let,आसमानी,blue,0.21597849,0.18642549
-आना,let,शब्द,word,0.2150179,0.30759498
-आना,let,कारण,reason,0.21496697,0.36032748
अँगुली,finger,अँगुली,finger,1.0000001,0.99999994
अँगुली,finger,सर्दी,chill,0.33884072,0.37107706
अँगुली,finger,घटना,drop,0.29597214,0.4205219
अँगुली,finger,घटना,decrease,0.29597214,0.1709888
अँगुली,finger,हर जगह,everywhere,0.2852314,0.3533674
अँगुली,finger,दर्पण,mirror,0.2836856,0.41698188
अँगुली,finger,रंग,paint,0.26591048,0.49044913
अँगुली,finger,नवंबर,November,0.26126745,0.15398812
अँगुली,finger,निकल भागना,escape,0.2608251,0.3248495
अँगुली,finger,मोड़ना,turn,0.25876993,0.26619783
अँगुली,finger,खिसकाना,push,0.25273508,0.37774146
अँगुली,finger,लफ़्ज़,word,0.2497672,0.38616943
अँगुली,finger,चूल्हा,stove,0.24525164,0.50155866
अँगुली,finger,चप्पू,oar,0.23969305,0.064006895
अँगुली,finger,दूसरा,other,0.2350821,0.27543443
अँगुली,finger,दूसरा,second,0.2350821,0.31348637
अँगुली,finger,अभ्र,cloud,0.2288048,0.44822535
अँगुली,finger,पुतली,doll,0.22869715,0.5583854
अँगुली,finger,भ्राता,brother,0.21929212,0.36788464
अँगुली,finger,नापना,measure,0.21805492,0.24749178
अँगुली,finger,पाँव की उँगली,toe,0.21142645,0.49851006
अँगुली,finger,गँवाना,lose,0.20991258,0.27725613
अँगुली,finger,सर्द,cold,0.20699616,0.4030311
अँगुली,finger,चर्च,church,0.20282517,0.23824002
अँगुली,finger,गंद,dirt,0.2022156,0.6193558
अँगुली,finger,कोना,corner,0.19977212,0.49541783
अँगुली,finger,कोना,angle,0.19977212,0.46559536
अँगुली,finger,बारिश,rain,0.19494322,0.23739262
अँगूठी,ring,अँगूठी,ring,0.99999994,1.0
अँगूठी,ring,चक्षु,eye,0.28595185,0.46171772
अँगूठी,ring,उपांत,fringe,0.27632597,0.22723259
अँगूठी,ring,जवान,young,0.2738511,0.19621314
अँगूठी,ring,झुंड,swarm,0.26583284,0.47589454
अँगूठी,ring,ख़त,letter,0.26331735,0.27673396
अँगूठी,ring,केवल,only,0.2500095,0.17903283
अँगूठी,ring,के सामने,in front of,0.23728175,0.45369774
अँगूठी,ring,फ़रवरी,February,0.23080306,0.15171711
अँगूठी,ring,पहेली,puzzle,0.22696634,0.4073978
अँगूठी,ring,चरबी,fat,0.22471914,0.26847494
अँगूठी,ring,देग़,kettle,0.22201873,0.13617802
अँगूठी,ring,हत्था,handle,0.22042021,0.36936328
अँगूठी,ring,अक्सर,often,0.21622133,0.058679
अँगूठी,ring,अक़्ल,mind,0.21416733,0.21073776
अँगूठी,ring,राह,road,0.21267508,0.2351147
अँगूठी,ring,झूठ,lie,0.2115394,0.24153933
अँगूठी,ring,स्मरण-शक्ति,memory,0.21106584,0.3004133
अँगूठी,ring,नमूना,pattern,0.21090502,0.32546484
अँगूठी,ring,बंद जाना,stop,0.20736787,0.2661196
अँगूठी,ring,सुधारना,improve,0.20712285,0.17789939
अँगूठी,ring,नीला,blue,0.20507275,0.42069656
अँगूठी,ring,नाम देना,name,0.19815585,0.27591547
अँगूठी,ring,सूरज,sun,0.19776535,0.3648272
अँगूठी,ring,हाँकना,drive,0.19762598,0.29037732
अँगोछा,towel,अँगोछा,towel,0.99999994,1.0
अँगोछा,towel,एक दफ़ा,once,0.29958943,0.34209746
अँगोछा,towel,चिढ़ाना,annoy,0.2992532,0.3151749
अँगोछा,towel,बेटा,son,0.29352593,0.24876037
अँगोछा,towel,पकड़ना,seize,0.29161492,0.5385088
अँगोछा,towel,पकड़ना,hold,0.29161492,0.31759664
अँगोछा,towel,पकड़ना,catch,0.29161492,0.6094923
अँगोछा,towel,पकड़ना,grab,0.29161492,0.57657254
अँगोछा,towel,पकड़ना,catch,0.29161492,0.6094923
अँगोछा,towel,बिल,lair,0.2795401,0.58328694
अँगोछा,towel,उदास,sad,0.27266148,0.2386721
अँगोछा,towel,द्वितीय,second,0.24699931,0.35380188
अँगोछा,towel,चपटा,flat,0.24560072,0.54664344
अँगोछा,towel,खिड़की,window,0.24254768,0.5515696
अँगोछा,towel,लड़की,girl,0.23700938,0.32597935
अँगोछा,towel,शेख़ी बघारना,brag,0.23451461,0.4438571
अँगोछा,towel,शीर्ष,head,0.22920807,0.29606327
अँगोछा,towel,नरम,soft,0.2287693,0.41137695
अँगोछा,towel,होशियार,clever,0.22746591,0.39648247
अँगोछा,towel,स्वस्थ हो जाना,recover,0.22308394,0.49887192
अँगोछा,towel,माता-पिता,parents,0.22211775,0.20190999
अँगोछा,towel,समझ,mind,0.22100723,0.32858396
अँगोछा,towel,मिलना से,visit,0.22053666,0.3259405
अँगोछा,towel,गंद,dirt,0.22037607,0.7287201
अँगोछा,towel,भालू,bear,0.21907121,0.24377489
अँगोछा,towel,भय खाना से,be afraid of,0.21723926,0.43826324
अँगोछा,towel,कोण,angle,0.2160878,0.5767211
अँगोछा,towel,ढाल,slope,0.21573362,0.5998791
अँगोछा,towel,माँगना से,request,0.21533188,0.35022995
अँधेरा,dark,अँधेरा,dark,0.9999999,1.0
अँधेरा,dark,जिह्वा,tongue,0.32118326,0.5239333
अँधेरा,dark,मक्खन,butter,0.2783636,0.5966768
अँधेरा,dark,चिड़िया,bird,0.2757518,0.42374918
अँधेरा,dark,धरना,hold,0.2692159,0.088406935
अँधेरा,dark,लाना,bring,0.26783648,0.3464132
अँधेरा,dark,स्वप्न,dream,0.2642874,0.59216124
अँधेरा,dark,ख़बर देना,convey,0.26416743,0.4157873
अँधेरा,dark,मूखी घास,hay,0.26319665,0.32258597
अँधेरा,dark,मूल्यवान्,precious,0.2579904,0.50755155
अँधेरा,dark,पंक्ति,row,0.2460279,0.2863252
अँधेरा,dark,थकना,get tired,0.23732504,0.37111893
अँधेरा,dark,सीटी देना,whistle,0.23603876,0.56022584
अँधेरा,dark,धूआँ,smoke,0.23370339,0.32495755
अँधेरा,dark,स्याह,black,0.23097731,0.5367141
अँधेरा,dark,नष्ट करना,destroy,0.22640236,0.34116098
अँधेरा,dark,सत्ता,power,0.22157726,0.24160826
अँधेरा,dark,सौदा,business,0.22125344,0.08603594
अँधेरा,dark,गृह,home,0.22009099,0.25241947
अँधेरा,dark,खाट,bed,0.21785234,0.40541866
अँधेरा,dark,डोरा,thread,0.21752164,0.41466594
अँधेरा,dark,बलवान्,strong,0.21609253,0.37479746
अँधेरा,dark,पतझड़,autumn,0.21539472,0.3514535
अँधेरा,dark,जीतना,win,0.20785755,0.18922937
अँधेरा,dark,उछलना,jump,0.20695922,0.26519954
अंकुश,hook,अंकुश,hook,1.0,1.0
अंकुश,hook,कोशिश करना,try,0.3343215,0.3767213
अंकुश,hook,समाप्त करना,finish,0.30226928,0.31032026
अंकुश,hook,सैर करना,go for a walk,0.29788586,0.49766904
अंकुश,hook,तेज़ करना,grind,0.28987482,0.57293725
अंकुश,hook,बंद करना,close,0.27418494,0.31666994
अंकुश,hook,परीवर्तन करना,alter,0.2604734,0.38587016
अंकुश,hook,डाँस,midge,0.25779098,0.49486428
अंकुश,hook,वहाँ,there,0.25723663,0.21216536
अंकुश,hook,छोटा,little,0.25510812,0.46445143
अंकुश,hook,छोटा,short,0.25510812,0.38601464
अंकुश,hook,रोशनी,light,0.24709094,0.43179065
अंकुश,hook,मुसीबत,misfortune,0.24311456,0.38275522
अंकुश,hook,रक्षा करना,protect,0.23649122,0.16556855
अंकुश,hook,रक्षा करना,defend,0.23649122,0.26380432
अंकुश,hook,धनी,rich,0.2342943,0.3514468
अंकुश,hook,मरम्मत करना,mend,0.23040518,0.4222921
अंकुश,hook,ज़मीन,earth,0.22984609,0.20663632
अंकुश,hook,जंग,war,0.22965866,0.20052093
अंकुश,hook,हत्था,handle,0.22497736,0.35786462
अंकुश,hook,ख़ाला,aunt,0.21510744,0.50534165
अंकुश,hook,साठ,sixty,0.21459274,0.1663056
अंकुश,hook,जल्दी,soon,0.21390119,0.2181189
अंकुश,hook,सागर,sea,0.2130964,0.25435564
अंकुश,hook,भूमि,earth,0.21064451,0.20663632
अंकुश,hook,पट्टा,strap,0.20973329,0.62734663
अंकुश,hook,प्रिय,dear,0.20563142,0.49404037
अंडा,egg,अंडा,egg,1.0,1.0
अंडा,egg,पण्य,ware,0.28567034,0.39868283
अंडा,egg,उठाना,pick up,0.28103712,0.23396069
अंडा,egg,उठाना,raise,0.28103712,0.10817436
अंडा,egg,उठाना,lift,0.28103712,0.41163313
अंडा,egg,बतख़,duck,0.27040243,0.3773771
अंडा,egg,वहाँ,there,0.23905306,0.21369076
अंडा,egg,सोचना,think,0.23490214,0.34396285
अंडा,egg,बेग,bag,0.23424724,0.6035565
अंडा,egg,पट्टा,strap,0.23271179,0.59272987
अंडा,egg,बर्फ़,snow,0.2276906,0.27419245
अंडा,egg,बर्फ़,ice,0.2276906,0.33235544
अंडा,egg,लिखना,write,0.22713344,0.30005276
अंडा,egg,पेटी,box,0.22623935,0.20091774
अंडा,egg,पेटी,belt,0.22623935,0.3259194
अंडा,egg,अमीर,rich,0.22294083,0.3333837
अंडा,egg,सुबह,morning,0.22191358,0.2871449
अंडा,egg,अतिथि,guest,0.21910585,0.3154837
अंडा,egg,ख़ामोशी,calm,0.21687517,0.43288732
अंडा,egg,तकिया,pillow,0.21521823,0.499507
अंडा,egg,हस्त,hand,0.21317504,0.20548993
अंडा,egg,लटकना,hang,0.21177433,0.4266175
अंडा,egg,बात,matter,0.21144083,0.4117343
अंडा,egg,चिबुक,chin,0.21113403,0.098063365
अंडा,egg,विषाण,horn,0.21081766,0.27306175
अंडा,egg,कंजूस,stingy,0.20888756,0.14989224
अंडा,egg,समाप्ति,conclusion,0.20829993,0.16408199
अंडा,egg,पचास,fifty,0.20793687,0.2242387
अंडा,egg,चराना,herd,0.20689797,0.34280965
अंत,conclusion,अंत,conclusion,0.99999994,1.0
अंत,conclusion,पंजा,claw,0.29332393,0.24133384
अंत,conclusion,पंजा,claw,0.29332393,0.24133384
अंत,conclusion,ज़मीन,earth,0.26272944,0.12670305
अंत,conclusion,फटना,snap,0.26092085,0.34248346
अंत,conclusion,मूल,root,0.25971872,0.23932973
अंत,conclusion,घास-स्थल,meadow,0.25743133,0.10181329
अंत,conclusion,लाइन,line,0.25103244,0.29271403
अंत,conclusion,कंजूस,stingy,0.24507818,0.07410587
अंत,conclusion,बेटी,daughter,0.2436532,0.21317458
अंत,conclusion,बीज,seed,0.23914067,0.29062322
अंत,conclusion,सुस्ताना,relax,0.23781268,0.28762004
अंत,conclusion,बीवी,wife,0.23498496,0.23017192
अंत,conclusion,हाँकना,drive,0.23022242,0.15000874
अंत,conclusion,ऊँचा करना,raise,0.22986083,0.22681823
अंत,conclusion,चिकना,smooth,0.22956838,0.17881487
अंत,conclusion,गीत,song,0.22850318,0.25791925
अंत,conclusion,पुलिंदा,bundle,0.2274137,0.34582818
अंत,conclusion,साठ,sixty,0.22446723,0.31970432
अंत,conclusion,बहना,stream,0.21830359,0.17764905
अंत,conclusion,बहना,flow,0.21830359,0.13937408
अंत,conclusion,घूमना,revolve,0.21826446,0.25928724
अंत,conclusion,सर्दी लगना,be cold,0.2155548,0.10247806
अंत,conclusion,लगाना,spread,0.21426603,0.18955912
अंत,conclusion,भोथरा,blunt,0.21386556,0.19590473
अंत,conclusion,अब,now,0.21296585,0.1503937
अंत,conclusion,झाबर,moor,0.20924371,0.21023703
अंत होना,end,अंत होना,end,1.0,1.0
अंत होना,end,उदित होना,rise,0.5034563,0.46013457
अंत होना,end,मालिक होना,own,0.42576686,0.15048578
अंत होना,end,अलग होना,separate,0.42002174,0.1690098
अंत होना,end,होना,happen,0.4084327,0.37727103
अंत होना,end,ख़तम होना,end,0.40191492,1.0
अंत होना,end,नाराज़ होना,be annoyed,0.39776623,0.28194314
अंत होना,end,प्रवाहित होना,stream,0.38284013,0.22747658
अंत होना,end,प्रवाहित होना,flow,0.38284013,0.26653135
अंत होना,end,पैदा होना,be born,0.3825969,0.19287255
अंत होना,end,खड़ा होना,stand,0.3824814,0.29961103
